name,category,unit,quantity,unit_value,min_quantity,price,brand,status
Shampoo,Hair Care,ml,500,2.50,50,3.00,L'Oréal,active
Conditioner,Hair Care,ml,400,3.00,40,3.50,Pantene,active
Hair Gel,Hair Styling,g,200,1.50,20,2.00,TRESemmé,active
Hair Spray,Hair Styling,ml,300,2.00,30,2.50,Schwarzkopf,active
Nail Polish,Nail Care,ml,15,5.00,5,6.00,OPI,active
Nail Polish Remover,Nail Care,ml,200,1.00,20,1.50,Sally Hansen,active
Facial Cleanser,Skin Care,ml,250,4.00,25,5.00,Neutrogena,active
Moisturizer,Skin Care,ml,100,8.00,10,10.00,Cetaphil,active
Massage Oil,Massage,ml,500,3.50,50,4.50,Bio-Oil,active
Wax Strips,Hair Removal,pieces,50,0.50,5,0.75,Veet,active
Cotton Pads,General,pieces,200,0.10,20,0.15,Generic,active
Disposable Gloves,General,pairs,100,0.25,10,0.35,Generic,active 
